asdf


asddas2018-07-07 12:40:20,789 'a'
2018-07-07 12:50:54,184 Key.right
2018-07-07 12:51:00,552 Key.right
2018-07-07 12:51:01,471 Key.right
2018-07-07 12:51:04,791 Key.space
2018-07-07 12:51:05,544 Key.shift_r
2018-07-07 12:51:05,783 Key.shift_r
2018-07-07 12:51:06,352 Key.right
2018-07-07 12:51:06,640 Key.right
2018-07-07 12:51:07,439 Key.right
2018-07-07 12:51:07,952 Key.right
2018-07-07 12:51:10,648 Key.right
2018-07-07 12:51:11,015 Key.right
2018-07-07 12:51:13,968 Key.right
2018-07-07 12:51:14,472 Key.right
2018-07-07 12:51:15,104 Key.right
2018-07-07 12:51:15,623 Key.right
2018-07-07 12:51:17,536 Key.right
2018-07-07 12:51:18,064 Key.right
2018-07-07 12:51:19,031 Key.right
2018-07-07 12:51:19,647 Key.right
2018-07-07 12:51:20,015 Key.right
2018-07-07 12:51:20,384 Key.right
2018-07-07 12:51:20,743 Key.right
2018-07-07 12:51:21,288 Key.right
2018-07-07 12:51:21,800 Key.right
2018-07-07 12:51:22,391 Key.right
2018-07-07 12:51:22,919 Key.right
2018-07-07 12:51:23,639 Key.right
2018-07-07 12:51:27,591 Key.right
2018-07-07 12:51:28,327 Key.right
2018-07-07 12:51:28,854 Key.right
2018-07-07 12:51:29,383 Key.right
2018-07-07 12:51:31,712 Key.right
2018-07-07 12:51:33,719 Key.right
2018-07-07 12:51:34,622 Key.right
2018-07-07 12:51:35,384 Key.right
2018-07-07 12:51:36,015 Key.right
2018-07-07 12:51:39,767 Key.right
2018-07-07 12:51:45,568 Key.right
2018-07-07 12:51:45,959 Key.right
2018-07-07 12:51:46,967 Key.right
2018-07-07 12:51:49,103 Key.right
2018-07-07 12:51:50,319 Key.right
2018-07-07 12:51:50,791 Key.right
2018-07-07 12:51:51,127 Key.right
2018-07-07 12:51:51,649 Key.right
2018-07-07 12:51:52,639 Key.right
2018-07-07 12:51:53,256 Key.right
2018-07-07 12:51:53,710 Key.left
2018-07-07 12:51:56,039 Key.right
2018-07-07 12:51:57,383 Key.right
2018-07-07 12:51:57,831 Key.right
2018-07-07 12:51:58,208 Key.right
2018-07-07 12:52:00,007 Key.right
2018-07-07 12:52:00,463 Key.right
2018-07-07 12:52:01,791 Key.right
2018-07-07 12:52:02,735 Key.right
2018-07-07 12:52:04,143 Key.right
2018-07-07 12:52:04,447 Key.right
2018-07-07 12:52:04,855 Key.right
2018-07-07 12:52:05,415 Key.right
2018-07-07 12:52:07,479 Key.right
2018-07-07 12:52:07,967 Key.right
2018-07-07 12:52:08,159 Key.right
2018-07-07 12:52:08,846 Key.right
2018-07-07 12:52:09,135 Key.right
2018-07-07 12:52:09,623 Key.right
2018-07-07 12:52:10,383 Key.right
2018-07-07 12:52:10,775 Key.right
2018-07-07 12:52:11,343 Key.right
2018-07-07 12:52:11,776 Key.right
2018-07-07 12:52:12,278 Key.right
2018-07-07 12:52:12,638 Key.right
2018-07-07 12:52:21,127 'p'
2018-07-07 12:52:21,223 'y'
2018-07-07 12:52:22,270 't'
2018-07-07 12:52:22,430 'h'
2018-07-07 12:52:22,774 'o'
2018-07-07 12:52:22,903 'n'
2018-07-07 12:52:23,174 Key.enter
2018-07-07 12:52:24,159 'i'
2018-07-07 12:52:24,358 'm'
2018-07-07 12:52:24,535 'p'
2018-07-07 12:52:24,662 'o'
2018-07-07 12:52:24,822 'r'
2018-07-07 12:52:24,998 Key.space
2018-07-07 12:52:25,191 'p'
2018-07-07 12:52:25,638 'y'
2018-07-07 12:52:25,974 '2'
2018-07-07 12:52:26,366 'e'
2018-07-07 12:52:26,670 'x'
2018-07-07 12:52:26,926 'e'
2018-07-07 12:52:27,150 Key.enter
2018-07-07 12:52:31,086 Key.up
2018-07-07 12:52:31,358 Key.left
2018-07-07 12:52:31,859 Key.left
2018-07-07 12:52:31,892 Key.left
2018-07-07 12:52:31,925 Key.left
2018-07-07 12:52:31,958 Key.left
2018-07-07 12:52:32,111 Key.left
2018-07-07 12:52:32,222 Key.left
2018-07-07 12:52:32,398 Key.left
2018-07-07 12:52:33,071 Key.right
2018-07-07 12:52:33,198 't'
2018-07-07 12:52:33,805 Key.enter
2018-07-07 12:52:36,686 's'
2018-07-07 12:52:36,878 'e'
2018-07-07 12:52:37,022 't'
2018-07-07 12:52:38,254 Key.backspace
2018-07-07 12:52:38,383 Key.backspace
2018-07-07 12:52:38,526 Key.backspace
2018-07-07 12:52:38,671 Key.backspace
2018-07-07 12:52:39,342 'c'
2018-07-07 12:52:39,999 'd'
2018-07-07 12:52:42,486 Key.backspace
2018-07-07 12:52:42,630 Key.backspace
2018-07-07 12:52:42,774 Key.backspace
2018-07-07 12:52:43,302 'e'
2018-07-07 12:52:43,592 'x'
2018-07-07 12:52:44,054 'i'
2018-07-07 12:52:44,183 't'
2018-07-07 12:52:44,606 Key.shift_r
2018-07-07 12:52:44,750 '9'
2018-07-07 12:52:45,646 '0'
2018-07-07 12:52:45,806 Key.shift_r
2018-07-07 12:52:45,918 '0'
2018-07-07 12:52:46,141 Key.enter
2018-07-07 12:52:47,934 'c'
2018-07-07 12:52:48,126 'd'
2018-07-07 12:52:48,639 Key.enter
2018-07-07 12:52:51,910 'c'
2018-07-07 12:52:52,070 'd'
2018-07-07 12:52:53,030 Key.space
2018-07-07 12:52:53,591 Key.shift_r
2018-07-07 12:52:54,090 Key.shift_r
2018-07-07 12:52:54,122 Key.shift_r
2018-07-07 12:52:54,156 Key.shift_r
2018-07-07 12:52:54,189 Key.shift_r
2018-07-07 12:52:54,222 Key.shift_r
2018-07-07 12:52:54,255 Key.shift_r
2018-07-07 12:52:54,288 Key.shift_r
2018-07-07 12:52:54,321 Key.shift_r
2018-07-07 12:52:54,354 Key.shift_r
2018-07-07 12:52:54,388 Key.shift_r
2018-07-07 12:52:54,420 Key.shift_r
2018-07-07 12:52:54,453 Key.shift_r
2018-07-07 12:52:54,486 Key.shift_r
2018-07-07 12:52:54,519 Key.shift_r
2018-07-07 12:52:54,551 Key.shift_r
2018-07-07 12:52:54,585 Key.shift_r
2018-07-07 12:52:54,618 Key.shift_r
2018-07-07 12:52:54,651 Key.shift_r
2018-07-07 12:52:54,684 Key.shift_r
2018-07-07 12:52:54,717 Key.shift_r
2018-07-07 12:52:54,750 Key.shift_r
2018-07-07 12:52:54,783 Key.shift_r
2018-07-07 12:52:54,816 Key.shift_r
2018-07-07 12:52:54,849 Key.shift_r
2018-07-07 12:52:57,094 'l'
2018-07-07 12:52:57,254 'i'
2018-07-07 12:52:57,654 'b'
2018-07-07 12:52:57,830 Key.enter
2018-07-07 12:53:01,133 'c'
2018-07-07 12:53:01,502 'd'
2018-07-07 12:53:01,742 'l'
2018-07-07 12:53:02,614 'b'
2018-07-07 12:53:02,806 Key.enter
2018-07-07 12:53:04,942 'c'
2018-07-07 12:53:05,150 'd'
2018-07-07 12:53:05,310 'l'
2018-07-07 12:53:05,470 'i'
2018-07-07 12:53:05,694 'b'
2018-07-07 12:53:05,822 Key.enter
2018-07-07 12:53:07,494 Key.up
2018-07-07 12:53:08,190 Key.up
2018-07-07 12:53:08,629 Key.up
2018-07-07 12:53:10,070 Key.backspace
2018-07-07 12:53:10,214 Key.backspace
2018-07-07 12:53:10,358 Key.backspace
2018-07-07 12:53:10,485 Key.backspace
2018-07-07 12:53:10,974 Key.space
2018-07-07 12:53:11,182 Key.shift_r
2018-07-07 12:53:11,374 'd'
2018-07-07 12:53:12,062 Key.shift_r
2018-07-07 12:53:12,270 ';'
2018-07-07 12:53:12,558 '\\'
2018-07-07 12:53:13,878 Key.enter
2018-07-07 12:53:15,790 Key.up
2018-07-07 12:53:18,174 Key.shift_r
2018-07-07 12:53:18,238 'd'
2018-07-07 12:53:18,494 'e'
2018-07-07 12:53:18,670 's'
2018-07-07 12:53:19,198 'k'
2018-07-07 12:53:19,358 't'
2018-07-07 12:53:19,550 'o'
2018-07-07 12:53:19,774 'p'
2018-07-07 12:53:20,342 Key.enter
2018-07-07 12:53:25,958 'c'
2018-07-07 12:53:26,058 'm'
2018-07-07 12:53:26,134 'd'
2018-07-07 12:53:58,229 Key.backspace
2018-07-07 12:53:58,837 Key.backspace
2018-07-07 12:53:59,501 Key.down
2018-07-07 12:53:59,694 Key.down
2018-07-07 12:54:00,621 Key.enter
2018-07-07 12:54:01,333 Key.up
2018-07-07 12:54:01,541 Key.up
2018-07-07 12:54:02,117 Key.down
2018-07-07 12:54:02,501 Key.up
2018-07-07 12:54:02,950 Key.tab
2018-07-07 12:54:04,701 Key.ctrl_l
2018-07-07 12:54:04,846 Key.shift
2018-07-07 12:54:04,957 Key.f10
2018-07-07 12:54:09,901 Key.backspace
2018-07-07 12:54:11,173 Key.down
